gender,points,badges_cnt,user_grade,user_city,has_teacher_cnt,is_self_coach,has_student_cnt,belongs_to_class_cnt,has_class_cnt,is_correct
no_value,62990,7,3,tp,1,0,0,1,0,2
male,16005,2,3,ty,0,0,0,0,0,3
male,39455,11,3,cy,1,0,0,0,0,2
unspecified,2100,0,3,tp,1,0,0,1,0,3
no_value,66823,3,3,ty,1,0,0,0,0,3
no_value,3225,0,3,ty,1,0,0,1,0,2
female,493411,31,3,ty,0,0,0,0,1,3
no_value,64099,3,3,ntct,1,0,0,0,0,3
male,88495,17,3,tc,2,0,0,3,0,2
female,98565,15,3,tc,1,0,0,2,0,3
female,17294,2,3,kh,1,0,0,1,0,2
no_value,96685,5,4,cy,1,0,0,1,0,3
female,63440,2,4,kh,1,0,0,1,0,3
no_value,4275,0,4,ty,0,0,2,0,2,3
no_value,101003,8,4,cy,1,0,0,1,0,3
no_value,3675,1,4,tc,0,0,0,0,0,2
unspecified,79542,9,4,ty,0,0,0,0,0,3
male,5325,0,4,cy,1,0,0,1,0,3
no_value,268833,13,4,ty,1,0,0,1,0,3
no_value,9210,0,4,tc,1,0,0,1,0,3
male,15931,2,4,tc,1,0,0,4,0,2
no_value,2631,0,4,tc,0,0,0,0,0,2
female,78900,18,4,tc,1,0,0,4,0,3
female,598356,25,4,ty,1,0,0,1,1,3
no_value,3691,0,4,tc,0,0,0,0,0,3
no_value,8175,3,4,tp,0,0,0,0,0,3
female,137608,27,4,tc,1,0,0,1,0,3
no_value,7800,0,4,tp,0,0,0,0,0,3
no_value,79457,14,4,tc,0,0,0,0,1,2
no_value,7578,1,5,tc,0,0,0,0,0,0
female,78371,22,5,tc,1,0,0,4,0,2
no_value,100865,10,5,cy,1,0,0,1,0,2
male,9150,1,5,kh,1,0,0,1,0,2
male,88915,16,5,tc,1,0,0,2,0,2
no_value,15579,4,5,ntpc,0,0,0,0,0,2
no_value,2175,0,5,hc,0,0,0,0,0,2
no_value,11325,3,5,phc,0,0,0,0,0,0
no_value,21060,1,5,ty,1,0,0,1,0,3
female,121808,33,5,ml,2,0,0,2,0,2
no_value,52462,10,5,ml,2,0,0,2,0,1
no_value,41380,5,5,chc,1,0,0,1,0,2
no_value,10575,1,5,ty,1,0,0,1,0,3
no_value,5278,0,5,ntpc,0,0,0,0,0,2
male,175050,18,6,tc,1,0,0,1,0,3
female,24287,4,6,tp,0,0,0,0,0,2
no_value,30000,4,6,tp,0,0,0,0,0,3
no_value,4567,0,6,ty,1,0,0,1,0,3
no_value,219428,62,6,ml,2,0,0,2,0,2
male,190655,19,6,tc,1,0,0,1,0,2
no_value,8928,1,6,tp,1,0,0,1,0,2
female,296281,50,6,ml,1,0,0,1,0,2
male,15366,9,6,kh,1,0,0,0,0,1
male,9600,1,6,tc,0,0,0,0,0,3
no_value,74062,17,6,ml,2,0,0,2,0,2
no_value,103425,22,6,tc,1,0,0,1,0,2
no_value,10125,1,7,tp,1,0,0,1,0,3
male,31943,5,7,tp,0,0,0,0,0,3
no_value,5400,3,7,tp,1,0,0,1,0,3
no_value,19631,3,7,tc,0,0,0,0,0,3
no_value,3820,0,7,kh,0,0,0,0,0,3
no_value,5685,0,7,ty,0,0,0,0,0,2
male,7500,0,7,ml,2,0,0,3,0,3
unspecified,1200,0,7,tp,1,0,0,1,0,1
no_value,17629,5,7,tp,1,0,0,1,0,3
no_value,30375,3,7,ilc,2,0,0,2,0,2
male,31529,10,7,ntpc,1,0,0,1,0,1
no_value,2118,1,7,tp,0,0,0,0,0,1
male,44081,7,7,kh,1,0,0,0,0,3
male,217114,26,7,ntpc,0,0,0,0,0,2
no_value,5499,0,8,ntpc,0,0,0,0,0,2
no_value,282,0,8,tc,0,0,0,0,0,0
no_value,5736,4,8,chc,0,0,0,0,0,2
unspecified,91513,9,8,ty,1,0,0,1,0,2
no_value,68561,8,8,ntpc,0,0,0,0,0,3
no_value,8978,1,8,ntpc,1,0,0,1,0,3
female,62742,5,8,ntpc,0,0,0,0,0,3
no_value,9818,0,9,kh,0,0,0,0,0,3
no_value,19164,1,9,tc,0,0,0,0,0,3
no_value,7370,4,9,tp,0,0,0,0,0,2
no_value,975,0,9,ty,0,0,0,0,0,3
no_value,53164,4,9,tn,0,0,0,0,0,3
no_value,1455,0,9,ty,0,0,0,0,0,1
no_value,9750,0,10,ty,0,0,0,0,0,3
female,413583,7,10,ty,0,0,0,0,0,3
no_value,102930,2,10,ty,0,0,0,0,0,3
female,298148,15,10,kh,0,0,0,0,0,3
no_value,107460,3,10,ty,0,0,0,0,0,3
no_value,239847,34,11,tp,0,0,0,0,0,2
female,21854,1,1,tp,0,0,0,0,0,3
male,36630,1,1,ntpc,0,0,0,0,0,3
no_value,16125,1,2,tp,0,0,0,0,0,3
no_value,2427,0,2,tc,0,0,0,0,0,3
female,20065,4,3,tc,0,0,0,0,0,3
no_value,11382,1,3,tp,0,0,0,0,0,3
no_value,2775,0,3,tc,0,0,0,0,0,1
male,93305,7,4,tc,1,0,0,1,0,3
male,20058,1,4,ty,1,0,0,0,0,3
no_value,45075,9,4,cy,1,0,0,1,0,2
female,71469,1,4,tp,0,0,0,0,0,3
male,4200,0,4,ntpc,0,0,0,0,0,2
male,101019,7,4,tp,0,0,0,0,0,3
no_value,300,0,4,ntpc,0,0,0,0,0,3
no_value,2168,0,4,ptc,1,0,0,0,0,2
no_value,86005,7,4,cy,1,0,0,1,0,2
no_value,4821,0,4,tp,0,0,0,0,0,3
no_value,21825,1,5,tc,1,0,0,1,0,2
male,46714,4,5,ty,0,0,0,0,0,3
unspecified,13207,2,5,tc,0,0,0,0,0,3
no_value,33330,2,5,ml,1,0,0,1,0,2
female,21612,3,5,kh,0,0,0,0,0,3
no_value,3210,0,5,tp,0,0,0,0,0,3
no_value,1275,0,5,kh,0,0,0,0,0,2
male,104820,3,5,tp,1,0,0,1,0,3
no_value,30241,9,5,tp,0,0,0,0,0,2
no_value,8055,0,5,hlc,1,0,0,1,0,3
no_value,40298,6,6,kh,1,0,0,2,0,1
unspecified,1200,0,6,tc,1,0,0,1,1,3
no_value,9960,0,6,tc,0,0,0,0,0,3
no_value,12047,5,6,cy,0,0,0,0,0,2
no_value,16115,8,7,kh,1,0,0,1,0,3
no_value,20885,5,7,tp,1,0,0,1,0,3
female,7717,0,7,tc,0,0,0,0,0,3
no_value,69592,14,7,tp,0,0,0,0,0,3
female,16635,3,7,tc,0,0,0,0,0,2
female,15533,2,7,ntpc,0,0,0,0,0,3
female,27072,3,7,tp,0,0,0,0,0,3
male,331867,73,7,tp,6,1,13,7,1,3
no_value,8625,2,7,ntpc,0,0,0,0,0,0
no_value,20942,1,7,ntpc,0,0,0,0,0,3
no_value,21181,5,7,tp,0,0,0,0,0,2
male,153315,12,7,tc,0,0,0,0,0,3
female,120054,11,8,ntpc,0,0,0,0,0,3
female,14337,5,8,tp,1,0,0,1,0,3
no_value,7875,4,8,tp,0,0,0,0,0,2
no_value,4260,1,8,ntpc,0,0,0,0,0,3
no_value,58691,10,8,tp,0,0,0,0,0,2
female,106707,31,9,tp,0,0,0,0,0,1
no_value,2381,0,9,kl,1,0,0,0,0,3
no_value,6553,2,9,tc,0,0,0,0,0,0
no_value,45393,12,9,tp,0,0,0,0,0,3
no_value,11025,2,9,kl,1,0,0,0,0,3
no_value,1500,0,9,kl,1,0,0,0,0,0
no_value,2925,1,9,kl,1,0,0,0,0,1
no_value,14325,1,9,kl,1,0,0,0,0,3
no_value,1630,0,9,kl,1,0,0,0,0,2
no_value,7110,4,9,kl,1,0,0,0,0,0
no_value,4826,0,9,tp,0,0,0,0,0,3
no_value,7830,4,9,kl,1,0,0,0,0,1
female,43735,1,10,chc,0,0,0,0,0,3
no_value,45110,13,10,ptc,0,0,0,0,0,3
no_value,16275,1,1,ptc,1,0,0,0,0,1
female,11775,1,1,ntpc,1,0,0,1,0,3
no_value,29639,5,1,tp,0,0,0,0,0,3
male,3900,0,3,tc,3,0,0,1,0,3
female,6423,0,3,ilc,2,0,0,2,0,3
no_value,2025,0,3,tp,1,0,0,1,0,2
unspecified,10350,3,3,chc,1,0,0,1,0,2
female,29405,4,4,tc,0,0,0,0,0,3
male,24390,1,4,tp,0,0,0,0,0,3
female,1650,2,4,kh,1,0,0,1,0,1
male,4275,0,4,tp,0,0,0,0,0,3
unspecified,3159,0,4,tp,0,0,0,0,0,3
unspecified,13913,5,4,tp,0,0,0,0,0,3
no_value,4909,1,4,phc,0,0,0,0,0,0
no_value,21000,12,4,tn,1,0,0,1,0,0
unspecified,4350,0,4,tp,0,0,0,0,0,3
no_value,48623,9,5,ntpc,1,0,0,1,0,2
no_value,21226,5,5,cy,0,0,0,0,0,2
no_value,35312,4,6,ty,0,0,0,0,0,3
female,10256,1,6,kh,1,0,0,1,0,2
no_value,1950,0,6,kh,0,0,0,0,0,3
no_value,44334,16,6,ty,0,0,0,0,0,3
female,145190,17,6,tc,1,0,0,1,0,3
female,314829,15,6,tc,1,0,0,1,0,3
no_value,7635,0,6,tp,0,0,0,0,0,3
no_value,10320,1,6,tp,0,0,0,0,0,3
no_value,8410,0,7,tp,0,0,0,0,0,3
no_value,525,0,7,ntpc,1,0,0,1,0,3
no_value,10875,3,7,tp,1,0,0,1,0,2
no_value,9284,0,7,chc,0,0,0,0,0,3
unspecified,14550,1,7,ml,2,0,0,4,0,3
no_value,870,0,7,tp,0,0,0,0,0,3
no_value,19125,6,7,tp,0,0,0,0,0,2
no_value,1600,0,7,tp,0,0,0,0,0,0
no_value,2100,0,7,tp,0,0,0,0,0,3
female,57324,12,7,tc,0,0,0,0,0,3
no_value,1643,0,7,ptc,1,0,0,0,0,3
no_value,3720,0,7,tp,0,0,0,0,0,3
no_value,540,0,7,tn,1,0,0,1,0,1
no_value,1725,0,8,tc,0,0,0,0,0,3
no_value,4935,0,8,tp,0,0,0,0,0,2
unspecified,81687,10,8,tc,0,0,0,0,0,2
no_value,2700,0,8,ptc,1,0,0,0,0,3
no_value,27840,3,9,kh,0,0,0,0,0,0
no_value,7381,0,9,tp,0,0,0,0,0,3
no_value,14050,1,9,kh,0,0,0,0,0,2
no_value,1725,0,9,ptc,1,0,0,0,0,3
no_value,252,0,11,tn,0,0,0,0,0,0
no_value,10335,1,1,tp,0,0,0,0,0,3
no_value,9525,0,1,kh,0,0,0,0,0,3
no_value,17742,1,2,kh,0,0,0,0,0,2
male,57005,3,3,ilc,2,0,0,1,0,3
male,4594,2,3,ntpc,0,0,0,0,1,3
no_value,2175,1,4,tp,1,0,0,1,0,1
no_value,4875,0,4,tp,1,0,0,1,0,3
no_value,76257,12,4,ntpc,1,0,0,1,0,2
female,10235,0,4,tp,1,0,0,1,0,3
no_value,4200,1,4,tp,1,0,0,1,0,2
no_value,4125,0,4,tp,1,0,0,1,0,2
no_value,5550,0,4,tp,1,0,0,1,0,3
unspecified,99153,9,4,tp,0,0,0,0,0,3
unspecified,3086,0,4,tp,0,0,0,0,0,3
no_value,9750,0,4,tn,0,0,0,0,0,3
no_value,3525,0,4,tp,1,0,0,1,0,2
unspecified,74935,9,5,ntpc,1,0,0,1,0,3
unspecified,15814,2,5,tc,0,0,0,0,0,3
no_value,17865,1,5,tp,1,0,0,1,0,3
no_value,70845,4,5,ntpc,1,0,0,1,0,3
no_value,59970,8,5,ntpc,1,0,0,1,0,2
male,27970,2,5,hc,0,0,0,0,0,3
no_value,92889,6,5,ty,1,0,0,1,0,3
no_value,83119,13,5,ntpc,1,0,0,1,0,2
no_value,93980,17,5,ntpc,1,0,0,1,0,2
no_value,68207,10,5,ntpc,1,0,0,1,0,3
no_value,5100,1,5,tp,1,0,0,1,0,2
no_value,86881,15,5,ntpc,1,0,0,1,0,2
no_value,13050,1,5,kh,1,0,0,1,0,3
no_value,73142,23,5,ntpc,1,0,0,1,0,2
unspecified,73615,16,5,ntpc,2,0,0,2,0,3
male,10500,1,5,tc,0,0,0,0,0,3
male,93083,17,5,kh,0,0,0,0,0,3
no_value,5250,2,5,tp,1,0,0,1,0,2
no_value,7035,0,6,kh,0,0,0,0,0,3
no_value,6225,0,6,tp,1,0,0,1,0,3
no_value,2850,1,6,tp,1,0,0,1,0,2
female,90183,29,6,tp,0,0,0,0,0,2
no_value,4950,0,6,tp,1,0,0,1,0,2
no_value,103695,5,6,ntct,1,0,0,1,0,3
no_value,4050,0,6,tp,1,0,0,1,0,3
female,3591,0,6,ylc,0,0,0,0,0,3
no_value,6434,0,6,tp,0,0,0,0,0,3
no_value,26681,7,6,tp,0,0,0,0,0,3
no_value,5250,1,6,tp,1,0,0,1,0,3
no_value,5550,2,6,tp,1,0,0,1,0,2
no_value,57889,5,6,ty,0,0,0,0,0,2
female,29190,7,6,tc,0,0,0,0,1,3
no_value,1650,1,7,tc,0,0,0,0,0,1
no_value,3643,2,7,tc,0,0,0,0,0,2
no_value,5010,1,7,ty,0,0,0,0,0,2
no_value,975,0,7,tp,0,0,0,0,0,3
no_value,58600,11,7,ty,1,0,0,1,0,2
no_value,225,0,7,ntpc,0,0,0,0,0,1
